TX000001,2026-09-02 09:13:39,NORMAL,100,2.0,0.0,102.0,chi,yao
TX000002,2026-09-02 09:14:16,URGENT,500,5.00,5.0,510.00,chi,yao
TX000003,2026-09-02 09:14:50,EXPRESS,2000,20.00,10.0,2030.00,chi,yao
TX000004,2026-09-02 09:17:09,NORMAL,1,2.0,0.0,3.0,chi,yao
TX000005,2026-09-02 09:17:30,NORMAL,50000,50.0,0.0,50050.0,chi,yao
TX000006,2026-09-02 10:57:27,ELECTRONIC,1000,10.00,0.0,1010.00,chi,yao
TX000007,2026-09-02 11:26:58,EXPRESS,20000,50.0,10.0,20060.0,chi,yao
TX000008,2026-09-02 11:33:55,NORMAL,1000,10.00,0.0,1010.00,chi,yao
TX000009,2026-09-02 11:38:20,URGENT,2000,20.00,5.0,2025.00,chi,yao
TX000010,2026-09-03 09:21:13,NORMAL,2000,20.00,0.0,2020.00,chi,YAO
TX000011,2026-09-03 09:23:21,URGENT,10000,50.0,5.0,10055.0,chi,yao
